,mapped_veh_id,timestamps_utc,lat,lon,rs_e_inairtemp_pc1,rs_e_inairtemp_pc2,rs_e_oilpress_pc1,rs_e_oilpress_pc2,rs_e_rpm_pc1,rs_e_rpm_pc2,rs_e_wattemp_pc1,rs_e_wattemp_pc2,rs_t_oiltemp_pc1,rs_t_oiltemp_pc2,pg_point,utm_point,anomaly id
15108,102,2023-02-08 03:39:45,50.7740975,3.8731071,1.0,3.0,593.0,576.0,800.0,800.0,18.0,18.0,14.0,17.0,0101000020E6100000433E43931FFC0E402B357BA015634940,0101000020777F0000C4E7303D34232141EC648AE23A755541,iso results
15390,102,2023-03-11 09:02:11,50.8567527,3.6080736,1.5,1.0,310.5,618.5,393.0,799.5,2.5,6.0,5.5,1.5,0101000020E6100000E67C0CB155DD0C403EA18D12AA6D4940,0101000020777F0000B6E50DBC9E9020414261A8E5057E5541,iso results
15445,102,2023-03-27 02:27:51,50.7740696,3.872683,4.0,5.0,565.0,565.0,802.0,803.0,23.0,20.0,5.0,8.0,0101000020E61000008B33863941FB0E40F56970B614634940,0101000020777F0000C78ED981F8222141405966053A755541,iso results
15493,102,2023-03-20 00:22:53,50.855205,3.606225,5.0,5.0,596.0,596.0,798.0,799.0,9.0,8.0,4.0,7.0,0101000020E61000000B24287E8CD90C401630815B776D4940,0101000020777F000027DB47559D8F2041A5D9919ADA7D5541,iso results
15505,102,2023-03-01 13:40:59,51.0155797,3.7752788,16.0,6.0,607.0,614.0,804.0,795.0,13.0,9.0,12.0,8.0,0101000020E6100000CB411A5FC5330E40A2FDFE83FE814940,0101000020777F00001DF4E4DF1CEB2041A30EB6DA608F5541,iso results
15516,102,2023-03-06 02:05:06,50.8562818,3.6077043,2.0,3.0,617.0,593.0,798.0,796.0,6.0,6.0,2.0,3.0,0101000020E6100000CC1B711294DC0C407B945BA49A6D4940,0101000020777F000072FC299C6B90204189ACACC0F87D5541,iso results
15517,102,2023-03-06 02:11:01,50.8566163,3.6081365,3.0,4.0,545.0,569.0,798.0,797.0,25.0,20.0,9.0,6.0,0101000020E6100000FF0758AB76DD0C403ADC589AA56D4940,0101000020777F0000C91BB5D6A7902041EEB8421D027E5541,iso results
15522,102,2023-03-01 13:42:59,51.0155802,3.7752466,16.0,6.0,579.0,596.0,801.0,798.0,21.0,15.0,12.0,8.0,0101000020E61000007AAE4A7DB4330E408ABB3088FE814940,0101000020777F0000D307295B18EB20418CC7BFDC608F5541,iso results
15580,102,2023-02-06 00:06:14,50.8549719,3.6057813,3.0,4.0,600.0,617.0,800.0,800.0,11.0,11.0,4.0,4.0,0101000020E6100000173AC0DDA3D80C40DFBF1EB86F6D4940,0101000020777F000079FDFC4B5F8F20413B53400FD47D5541,iso results
15761,102,2023-01-31 13:22:27,51.0160165,3.7739763,7.0,7.0,576.0,603.0,796.0,801.0,23.0,18.0,9.0,8.0,0101000020E61000005E08837C1A310E4023D923D40C824940,0101000020777F00007643992065EA2041C250EEC16C8F5541,iso results
16040,102,2023-05-15 02:48:33,51.0164902,3.7727676,8.0,11.0,562.0,579.0,804.0,798.0,20.0,20.0,16.0,16.0,0101000020E61000006C448BC7A02E0E402DDAD2591C824940,0101000020777F00005EDBD474BAE92041A4B148B4798F5541,iso results
16244,102,2023-04-03 08:53:36,51.0144609,3.7785366,5.0,5.0,576.0,617.0,801.0,801.0,15.0,12.0,11.0,9.0,0101000020E61000008AE99D65713A0E400E49D2DAD9814940,0101000020777F0000AC9BBE89E8EC204142E2745A428F5541,iso results
16267,102,2023-04-03 08:53:42,51.0142762,3.7791352,5.0,5.0,600.0,593.0,800.0,800.0,16.0,12.0,9.0,9.0,0101000020E6100000A24C593CAB3B0E403A0E72CDD3814940,0101000020777F0000FEB89CF33CED20418C7B5B543D8F5541,iso results
16477,102,2023-03-27 02:28:42,50.7740342,3.872676,4.0,5.0,552.0,555.0,797.0,799.0,25.0,21.0,6.0,8.0,0101000020E61000006308008E3DFB0E40267E7B8D13634940,0101000020777F00003614EE9CF72221417473190939755541,iso results
16510,102,2023-03-27 02:30:41,50.7740281,3.8727029,5.0,5.0,541.0,569.0,799.0,792.0,28.0,25.0,8.0,9.0,0101000020E6100000B0FE74A84BFB0E40AFD74F5A13634940,0101000020777F0000EBC51F6CFB22214153DA1EDF38755541,iso results
16534,102,2023-03-20 00:23:34,50.8548489,3.6058521,5.0,5.0,593.0,607.0,798.0,802.0,12.0,11.0,10.0,7.0,0101000020E610000010B45DFCC8D80C40C34252B06B6D4940,0101000020777F0000929CEE7C698F20419D9B80A6D07D5541,iso results
16562,102,2023-03-20 00:22:33,50.8548658,3.605819,5.0,6.0,586.0,603.0,796.0,801.0,8.0,8.0,6.0,7.0,0101000020E6100000075DC2A1B7D80C4004BC163E6C6D4940,0101000020777F0000B4962BCC648F2041829E8D1DD17D5541,iso results
16633,102,2023-02-10 08:26:00,51.01547745,3.775760225,3.25,4.25,26.5,13.75,61.75,33.0,19.5,20.0,78.0,81.75,0101000020E6100000024DDFC6C1340E40A9C9422AFB814940,0101000020777F0000D5761FA760EB2041AEF7BE195E8F5541,iso results
16901,102,2023-04-22 03:32:18,51.0157944,3.7746335,6.0,8.0,593.0,572.0,798.0,802.0,16.0,15.0,15.0,14.0,0101000020E61000009016670C73320E40DFBA078D05824940,0101000020777F0000DB0C0AD8C1EA2041DE9241B4668F5541,iso results
17113,102,2023-03-11 09:04:59,50.8563756,3.607681,1.0,2.0,603.0,579.0,798.0,801.0,13.0,13.0,3.0,2.0,0101000020E610000061342BDB87DC0C40D38B35B79D6D4940,0101000020777F00005588902868902041CE925D5BFB7D5541,iso results
17144,102,2023-03-11 09:10:52,50.8563851,3.6076914,3.0,3.0,538.0,562.0,800.0,800.0,30.0,25.0,8.0,7.0,0101000020E6100000D07B084F8DDC0C400EA4E6069E6D4940,0101000020777F00002206E79A6990204142405C9FFB7D5541,iso results
17237,102,2023-03-27 02:27:36,50.7744481,3.8728108,4.0,4.0,569.0,558.0,799.0,801.0,22.0,18.0,7.0,6.0,0101000020E6100000C8C38C3A84FB0E4084F9861D21634940,0101000020777F000071FE238909232141ABAED69144755541,iso results
17241,102,2023-03-20 00:25:54,50.855105933333334,3.6060957333333334,5.0,5.0,586.0,585.0,802.0,803.3333333333334,22.0,17.0,8.0,8.0,0101000020E6100000604B47B848D90C402024791C746D4940,0101000020777F0000F9CC06518B8F20410E70C1D4D77D5541,iso results
17243,102,2023-03-12 22:52:01,50.8564038,3.6076788,9.0,9.0,586.0,610.0,798.0,802.0,15.0,12.0,9.0,10.0,0101000020E6100000BBC7E3B386DC0C40C795C4A39E6D4940,0101000020777F0000F05413CC679020419632FA23FC7D5541,iso results
17258,102,2023-03-27 02:28:36,50.7744381,3.8728163,4.0,5.0,552.0,576.0,802.0,797.0,25.0,21.0,9.0,8.0,0101000020E61000006853BF1C87FB0E406023A4C920634940,0101000020777F00001EBE68560A232141E32AF74A44755541,iso results
17267,102,2023-03-12 22:53:02,50.8563955,3.6076628,10.0,9.0,576.0,607.0,797.0,800.0,18.0,15.0,8.0,9.0,0101000020E610000060F767507EDC0C408578245E9E6D4940,0101000020777F000039095E8F6590204167AD50E8FB7D5541,iso results
17319,102,2023-03-12 22:52:02,50.8567376,3.6081317,10.0,9.0,607.0,617.0,802.0,801.0,15.0,12.0,11.0,9.0,0101000020E61000007D49192774DD0C4074A0E293A96D4940,0101000020777F000064A6E0F0A6902041B442597C057E5541,iso results
17438,102,2023-02-06 00:07:24,50.8549761,3.605852,3.0,4.0,607.0,593.0,800.0,800.0,17.0,16.0,7.0,6.0,0101000020E6100000C3BAF1EEC8D80C404A2E5ADB6F6D4940,0101000020777F00002294EF3D698F2041F2E8C02FD47D5541,iso results
